1,i,i,t
2,i,x,t
3,i,x,t
4,i,x,t
5,i,x,t
6,i,x,t
7,i,x,t
8,i,x,t
9,i,x,t
10,i,x,t
11,i,x,t
12,i,x,t
13,i,x,t
14,i,x,t
15,i,x,t
16,i,x,t
17,i,x,t
18,i,x,t
19,i,x,t
20,i,x,t
21,i,x,t
22,i,x,t
23,i,x,t
24,i,x,t
25,i,x,t
26,i,x,t
27,i,x,t
28,i,x,t
29,i,x,t
30,i,x,t
31,i,x,t
32,i,x,t
33,i,x,t
34,i,x,t
35,i,x,t
36,i,x,t
37,i,x,t
38,i,x,t
39,i,x,t
40,i,x,t
41,i,x,i,i
42,i,i,i,i
43,i,i,i,i
44,i,i,i,i
45,i,i,i,i
46,i,i,i,i
47,i,i,i,i
48,i,i,i,i
49,i,i,i,i
50,i,i,i,i
51,i,i,i,i
52,i,i,i,i
53,i,i,i,i
54,i,i,i,i
55,i,i,i,i
56,i,i,i,i
57,i,i,i,i
58,i,i,i,i
59,i,i,i,i
60,i,i,i,i
61,i,i,i,i
62,i,i,i,i
63,i,i,i,i
64,i,i,i,i
65,i,i,i,i
66,i,i,i,i
67,i,i,i,i
68,i,i,i,i
69,i,i,i,i
70,i,i,i,i
71,i,i,i,i
72,i,i,i,i
73,i,i,i,i
74,i,i,i,i
75,i,i,i,i
76,i,i,i,i
77,i,i,i,i
78,i,i,i,i
79,i,i,i,i
80,i,i,i,i
81,i,i,i,i
82,i,i,i,i
83,i,i,i,i
84,i,i,i,i
85,i,i,i,i
86,i,i,i,i
87,i,i,i,i
88,i,i,i,i
89,i,i,i,i
90,i,i,i,i
91,i,i,i,i
92,i,i,i,i
93,i,i,i,i
94,i,i,i,i
95,i,i,i,i
96,i,i,i,i
97,i,i,i,i
98,i,i,i,i
99,i,i,i,i
100,i,i,i,i
101,i,i,i,i
102,i,i,i,i
103,i,i,i,i
104,i,i,i,i
105,i,i,i,i
106,i,i,i,i
107,i,i,i,i
108,i,i,i,i
109,i,i,i,i
110,i,i,i,i
111,i,i,i,i
112,i,i,i,i
113,i,i,i,i
114,i,i,i,i
115,i,i,i,i
116,i,i,i,i
117,i,i,i,i
118,i,i,i,i
119,i,i,i,i
120,i,i,i,i
121,i,i,i,i
122,i,i,i,i
123,i,i,i,i
124,i,i,i,i
125,i,i,i,i
126,i,i,i,i
127,i,i,i,i
128,i,i,i,i
129,i,i,i,i
130,i,i,i,i
131,i,i,i,i
132,i,i,i,i
133,i,i,i,i
134,i,i,i,i
135,i,i,i,i
136,i,i,i,i
137,i,i,i,i
138,i,i,i,i
139,i,i,i,i
140,i,i,i,i
141,i,i,i,i
142,i,i,i,i
143,i,i,i,i
144,i,i,i,i
145,i,i,i,i
146,i,i,i,i
147,i,i,i,i
148,i,i,i,i
149,i,i,i,i
150,i,i,i,i
151,i,i,i,i
152,i,i,i,i
153,i,i,i,i
154,i,i,i,i
155,i,i,i,i
156,i,i,i,i
157,i,i,i,i
158,i,i,i,i
159,i,i,i,i
160,i,i,i,i
161,i,i,i,i
162,i,i,i,i
163,i,i,i,i
164,i,i,i,i
165,i,i,i,i
166,i,i,i,i
167,i,i,i,i
168,i,i,i,i
169,i,i,i,i
170,i,i,i,i
171,i,i,i,i
172,i,i,i,i
173,i,i,i,i
174,i,i,i,i
175,i,i,i,i
176,i,i,i,i
177,i,i,i,i
178,i,i,i,i
179,i,i,i,i
180,i,i,i,i
181,i,i,i,i
182,i,i,i,i
183,i,i,i,i
184,i,i,i,i
185,i,i,i,i
186,i,i,i,i
187,i,i,i,i
188,i,i,i,i
189,i,i,i,i
190,i,i,i,i
191,i,i,i,i
192,i,i,i,i
193,i,i,i,i
194,i,i,i,i
195,i,i,i,i
196,i,i,i,i
197,i,i,i,i
198,i,i,i,i
199,i,i,i,i
200,i,i,i,i
201,i,i,i,i
202,i,i,i,i
203,i,i,i,i
204,i,i,i,i
205,i,i,i,i
206,i,i,i,i
207,i,i,i,i
208,i,i,i,i
209,i,i,i,i
210,i,i,i,i
211,i,i,i,i
212,i,i,i,i
213,i,i,i,i
214,i,i,i,i
215,i,i,i,i
216,i,i,i,i
217,i,i,i,i
218,i,i,i,i
219,i,i,i,i
220,i,i,i,i
